Sample,Region,Lat,Long
SC56,Western Boundary,41.90529447,-83.22446088
SC54,Western Boundary,41.91078707,-83.21033079
SC53,Western Boundary,41.91228364,-83.20098801
SC51,Western Boundary,41.91227234,-83.20170665
SC50,Open Water,41.82489782,-83.21184393
SC48,Open Water,41.79352565,-83.23750371
SC47,Southern Boundary,41.71378931,-83.27107655
SC44,Maumee River,41.76626287,-83.32178954
SC42,Maumee River,41.76426667,-83.30990926
SC41,Maumee River,41.804267,-83.37444523
SC39,Maumee River,41.802132,-83.36302646
SC38,Maumee River,41.83754531,-83.35228342
SC36,Maumee River,41.83755441,-83.35222023
SC33,Open Water,41.84968278,-83.19036052
SC31,Open Water,41.84601559,-83.17242601
SC30,Open Water,41.8132518,-83.26318847
SC28,Open Water,41.8132303,-83.2631284
SC27,Maumee River,41.77416397,-83.34520301
SC25,Maumee River,41.77147846,-83.33113444
SC24,Maumee River,41.83562627,-83.35039962
SC22,Maumee River,41.83256898,-83.3353725
SC21,Open Water,41.84657592,-83.24300623
SC19,Open Water,41.84659871,-83.24305555
SC18,Open Water,41.84659397,-83.24304529
SC17,Open Water,41.85046938,-83.19494729
SC16,Open Water,41.84619414,-83.26799244
SC15,Open Water,41.8475939,-83.26677406
SC14,Open Water,41.84678692,-83.26270103
SC13,Open Water,41.78807732,-83.16744447
SC12,Open Water,41.78713724,-83.16258681
SC11,Open Water,41.78626397,-83.15827913
SC10,Open Water,41.7571664,-83.13528129
SC09,Open Water,41.75620408,-83.13017458
SC08,Open Water,41.75526942,-83.12541665
SC07,Open Water,41.70342935,-83.07077346
SC06,Open Water,41.70343039,-83.07077521
SC05,Open Water,41.70343145,-83.07077697
SC04,Southern Boundary,41.66736058,-83.10710015
SC03,Southern Boundary,41.66735549,-83.10710284
